#
# mid-IR sky transmission 6 - 28 um
# 1.0mm H2O, sec z = 1.5
#  
# Modification of original spectrum from ATRANS via Tom Geballe
# 14Dec99 - converted to units of nm from um by Phil Puxley
#
# lam(um)    trans
 6.000        2.14E-02
 6.005        1.82E-02
 6.010        7.35E-03
 6.015        3.00E-03
 6.020        1.16E-02
 6.025        2.43E-02
 6.030        2.02E-02
 6.035        7.01E-03
 6.040        9.39E-04
 6.045        4.05E-05
 6.050        2.69E-07
 6.055               0
 6.060               0
 6.065               0
 6.070        6.67E-06
 6.075        2.24E-04
 6.080        1.98E-03
 6.085        7.04E-03
 6.090        1.42E-02
 6.095        1.41E-02
 6.100        7.08E-03
 6.105        2.04E-03
 6.110        2.35E-04
 6.115        2.64E-04
 6.120        3.23E-03
 6.125        1.70E-02
 6.130        4.05E-02
 6.135        4.02E-02
 6.140        1.52E-02
 6.145        4.00E-03
 6.150        3.84E-03
 6.155        2.01E-03
 6.160        6.33E-04
 6.165        1.82E-03
 6.170        4.06E-03
 6.175        3.54E-03
 6.180        1.09E-03
 6.185        3.07E-04
 6.190        3.20E-03
 6.195        2.06E-02
 6.200        6.47E-02
 6.205        1.02E-01
 6.210        7.60E-02
 6.215        5.21E-02
 6.220        7.42E-02
 6.225        0.169826
 6.230        0.262691
 6.235        0.183615
 6.240        0.122395
 6.245        0.193388
 6.250        0.374838
 6.255        0.481383
 6.260        0.381151
 6.265        0.194449
 6.270        0.126829
 6.275        0.202245
 6.280        0.243192
 6.285        0.208531
 6.290        0.239793
 6.295        0.384644
 6.300         0.46958
 6.305        0.464634
 6.310        0.408671
 6.315        0.298753
 6.320        0.203252
 6.325        0.138164
 6.330        6.45E-02
 6.335        1.58E-02
 6.340        1.75E-03
 6.345        1.11E-04
 6.350        4.25E-04
 6.355        1.81E-03
 6.360        2.96E-03
 6.365        1.65E-03
 6.370        4.23E-04
 6.375        1.28E-03
 6.380        3.53E-03
 6.385        2.99E-03
 6.390        8.33E-04
 6.395        3.07E-04
 6.400        2.39E-04
 6.405        6.60E-05
 6.410        5.19E-06
 6.415        9.19E-08
 6.420               0
 6.425        2.44E-07
 6.430        1.14E-05
 6.435        1.54E-04
 6.440        7.08E-04
 6.445        1.22E-03
 6.450        1.44E-03
 6.455        4.54E-03
 6.460        8.81E-03
 6.465        6.50E-03
 6.470        1.68E-03
 6.475        1.42E-04
 6.480        3.40E-06
 6.485        3.44E-10
 6.490               0
 6.495        1.07E-07
 6.500        2.92E-06
 6.505        2.05E-05
 6.510        3.71E-05
 6.515        1.76E-05
 6.520        3.32E-05
 6.525        6.57E-04
 6.530        4.09E-03
 6.535        7.69E-03
 6.540        4.38E-03
 6.545        7.48E-04
 6.550        3.72E-05
 6.555        3.22E-07
 6.560               0
 6.565               0
 6.570        2.01E-08
 6.575        4.78E-07
 6.580        2.86E-06
 6.585        4.30E-06
 6.590        6.21E-06
 6.595        1.47E-04
 6.600        1.31E-03
 6.605        3.29E-03
 6.610        2.36E-03
 6.615        6.41E-04
 6.620        1.97E-04
 6.625        4.18E-05
 6.630        2.65E-06
 6.635        1.61E-07
 6.640        8.80E-06
 6.645        1.60E-04
 6.650        8.90E-04
 6.655        1.62E-03
 6.660        1.33E-03
 6.665        7.35E-04
 6.670        1.90E-04
 6.675        1.77E-05
 6.680        9.38E-05
 6.685        1.63E-03
 6.690        9.36E-03
 6.695        1.97E-02
 6.700        1.75E-02
 6.705        6.41E-03
 6.710        8.41E-04
 6.715        8.26E-05
 6.720        5.09E-04
 6.725        7.46E-03
