#
# Human eye photopic luminous efficiency curve
# Sharpe, Stockman, Jagla, & Jaegle (2005) 2-deg V*(lam)
# photopic = normal light levels
# Normalized to 100% at peak, nominal peak photopic QE is 0.5%
#
# For low-light  sensitivity see the scotopic efficiency
#
lam    Vlam
390.0  4.12756E-04
390.1  4.20838E-04
390.2  4.29072E-04
390.3  4.37458E-04
390.4  4.46001E-04
390.5  4.54701E-04
390.6  4.63563E-04
390.7  4.72588E-04
390.8  4.81779E-04
390.9  4.91139E-04
391.0  5.00670E-04
391.1  5.10375E-04
391.2  5.20256E-04
391.3  5.30318E-04
391.4  5.40561E-04
391.5  5.50990E-04
391.6  5.61607E-04
391.7  5.72414E-04
391.8  5.83415E-04
391.9  5.94612E-04
392.0  6.06009E-04
392.1  6.17609E-04
392.2  6.29413E-04
392.3  6.41426E-04
392.4  6.53651E-04
392.5  6.66090E-04
392.6  6.78747E-04
392.7  6.91624E-04
392.8  7.04725E-04
392.9  7.18053E-04
393.0  7.31611E-04
393.1  7.45403E-04
393.2  7.59431E-04
393.3  7.73698E-04
393.4  7.88209E-04
393.5  8.02966E-04
393.6  8.17972E-04
393.7  8.33231E-04
393.8  8.48746E-04
393.9  8.64520E-04
394.0  8.80558E-04
394.1  8.96861E-04
394.2  9.13434E-04
394.3  9.30279E-04
394.4  9.47401E-04
394.5  9.64802E-04
394.6  9.82487E-04
394.7  1.00046E-03
394.8  1.01872E-03
394.9  1.03727E-03
395.0  1.05612E-03
395.1  1.07527E-03
395.2  1.09473E-03
395.3  1.11449E-03
395.4  1.13456E-03
395.5  1.15494E-03
395.6  1.17564E-03
395.7  1.19666E-03
395.8  1.21801E-03
395.9  1.23968E-03
396.0  1.26169E-03
396.1  1.28402E-03
396.2  1.30670E-03
396.3  1.32971E-03
396.4  1.35307E-03
396.5  1.37678E-03
396.6  1.40083E-03
396.7  1.42524E-03
396.8  1.45001E-03
396.9  1.47514E-03
397.0  1.50063E-03
397.1  1.52648E-03
397.2  1.55271E-03
397.3  1.57930E-03
397.4  1.60628E-03
397.5  1.63363E-03
397.6  1.66136E-03
397.7  1.68947E-03
397.8  1.71797E-03
397.9  1.74687E-03
398.0  1.77615E-03
398.1  1.80583E-03
398.2  1.83590E-03
398.3  1.86638E-03
398.4  1.89726E-03
398.5  1.92854E-03
398.6  1.96023E-03
398.7  1.99233E-03
398.8  2.02484E-03
398.9  2.05776E-03
