JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332111.5,1673-Jan-01,-2.679955859517412E-01,9.477905217548450E-01,6.915662349556671E-04,-1.683482943776872E-02,-4.754437941150695E-03,-4.474865734414678E-06,5.688604060358861E-03,9.849512604600269E-01,5.528870544933947E-06
2332112.5,1673-Jan-02,-2.847877398564812E-01,9.428890997182909E-01,6.869844065740971E-04,-1.674860808570642E-02,-5.048148205161685E-03,-4.688549262559297E-06,5.688649204116682E-03,9.849590768593925E-01,1.010306451757098E-05
2332113.5,1673-Jan-03,-3.014910664640080E-01,9.376947571421299E-01,6.821896314430697E-04,-1.665717981804739E-02,-5.340263096247995E-03,-4.900747769105239E-06,5.688720749844802E-03,9.849714646182071E-01,1.467134611945475E-05
2332114.5,1673-Jan-04,-3.181003740912797E-01,9.322091370700908E-01,6.771834289063568E-04,-1.656057540783693E-02,-5.630687375732249E-03,-5.111392675905092E-06,5.688818659185452E-03,9.849884170950296E-01,1.923225804259797E-05
2332115.5,1673-Jan-05,-3.346105027495789E-01,9.264339774688406E-01,6.719673867051329E-04,-1.645882746813778E-02,-5.919326443354129E-03,-5.320415750200911E-06,5.688942885376515E-03,9.850099261932496E-01,2.378434689870188E-05
2332116.5,1673-Jan-06,-3.510163259768423E-01,9.203711105688277E-01,6.665431606702360E-04,-1.635197043659881E-02,-6.206086378660190E-03,-5.527749041526078E-06,5.689093373268192E-03,9.850359823639759E-01,2.832616121598068E-05
2332117.5,1673-Jan-07,-3.673127526544326E-01,9.140224621640762E-01,6.609124744356460E-04,-1.624004055979457E-02,-6.490873981631297E-03,-5.733324905817776E-06,5.689270059329710E-03,9.850665746071965E-01,3.285625008376082E-05
2332118.5,1673-Jan-08,-3.834947288081046E-01,9.073900508719451E-01,6.550771190842265E-04,-1.612307587722310E-02,-6.773596812060307E-03,-5.937076112122118E-06,5.689472871651290E-03,9.851016904721182E-01,3.737316291312056E-05
2332119.5,1673-Jan-09,-3.995572393926743E-01,9.004759873542196E-01,6.490389526598961E-04,-1.600111620466715E-02,-7.054163227517085E-03,-6.138935997415735E-06,5.689701729948139E-03,9.851413160578606E-01,4.187545035508650E-05
2332120.5,1673-Jan-10,-4.154953100596165E-01,8.932824735008899E-01,6.427998995160402E-04,-1.587420311665227E-02,-7.332482420045442E-03,-6.338838632095521E-06,5.689956545572459E-03,9.851854360155329E-01,4.636166608661302E-05
2332121.5,1673-Jan-11,-4.313040089065887E-01,8.858118015777589E-01,6.363619495069935E-04,-1.574237992781512E-02,-7.608464451856584E-03,-6.536718965821528E-06,5.690237221537288E-03,9.852340335523638E-01,5.083036906273861E-05
2332122.5,1673-Jan-12,-4.469784482077344E-01,8.780663533387437E-01,6.297271570510252E-04,-1.560569167308823E-02,-7.882020290286850E-03,-6.732512934782249E-06,5.690543652553787E-03,9.852870904381554E-01,5.528012585725109E-05
2332123.5,1673-Jan-13,-4.625137861235712E-01,8.700485991034985E-01,6.228976401096058E-04,-1.546418508668748E-02,-8.153061842231290E-03,-6.926157522896582E-06,5.690875725081574E-03,9.853445870140003E-01,5.970951280413126E-05
2332124.5,1673-Jan-14,-4.779052283892833E-01,8.617610968008027E-01,6.158755791277757E-04,-1.531790857994069E-02,-8.421501988190154E-03,-7.117590778413420E-06,5.691233317390383E-03,9.854065022029560E-01,6.411711775621585E-05
2332125.5,1673-Jan-15,-4.931480299802867E-01,8.532064909780659E-01,6.086632159776015E-04,-1.516691221801799E-02,-8.687254616000043E-03,-7.306751792681518E-06,5.691616299630526E-03,9.854728135222466E-01,6.850154136346512E-05
2332126.5,1673-Jan-16,-5.082374967540036E-01,8.443875117772466E-01,6.012628529382401E-04,-1.501124769562778E-02,-8.950234654277332E-03,-7.493580650171226E-06,5.692024533909256E-03,9.855434970964823E-01,7.286139783005015E-05
2332127.5,1673-Jan-17,-5.231689870668431E-01,8.353069738774688E-01,5.936768517358643E-04,-1.485096831174784E-02,-9.210358105576057E-03,-7.678018360325416E-06,5.692457874369956E-03,9.856185276713731E-01,7.719531514930334E-05
