JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2332077.5,1672-Nov-28,3.175505931138717E-01,9.348952919312058E-01,7.141035374487579E-04,-1.657592484712278E-02,5.472422917520872E-03,2.551505370351464E-06,5.702481637541317E-03,9.873540884636922E-01,-1.494403327570968E-04,
2332145.5,1673-Feb-04,-7.599545754209980E-01,6.308110806375480E-01,4.294583133994094E-04,-1.124518621553997E-02,-1.330825523112338E-02,-9.870417597428338E-06,5.704194300063876E-03,9.876506267870554E-01,1.527175796701316E-04,
2332147.5,1673-Feb-06,-7.819755097091732E-01,6.038127131762282E-01,4.092916677197067E-04,-1.077350589593562E-02,-1.368753588193219E-02,-1.031283053857050E-05,5.706012355400641E-03,9.879654133105209E-01,1.618532021998161E-04,
2332154.5,1673-Feb-13,-8.513414403321413E-01,5.036888716096454E-01,3.309417077554687E-04,-9.019379937129906E-03,-1.488344765200419E-02,-1.201454705558942E-05,5.713049890406957E-03,9.891839247241215E-01,1.839303818203459E-04,
2332168.5,1673-Feb-27,-9.508827387492466E-01,2.824242821976659E-01,1.569673850166389E-04,-5.138529148519463E-03,-1.655636483333880E-02,-1.206882726205018E-05,5.728957519896123E-03,9.919382453887412E-01,2.119258155370258E-04,
2332170.5,1673-Mar-01,-9.605826574070839E-01,2.491515736937056E-01,1.329278161459680E-04,-4.560820728994705E-03,-1.671310652121338E-02,-1.199355226958806E-05,5.731443412704570E-03,9.923686643859274E-01,2.186152367091676E-04,
2332184.5,1673-Mar-15,-9.956478362364144E-01,1.016225759760962E-02,-4.527850116616195E-05,-4.244367708553747E-04,-1.726460541418489E-02,-1.346133092679314E-05,5.750681854735284E-03,9.956996973645602E-01,2.482101733527923E-04,
2332186.5,1673-Mar-17,-9.958980016091319E-01,-2.436641372028948E-02,-7.218665293060896E-05,1.742443954573502E-04,-1.726043954734098E-02,-1.342392211914152E-05,5.753548510511713E-03,9.961960434259733E-01,2.479896767662227E-04,
2332193.5,1673-Mar-24,-9.873738887297746E-01,-1.446917232577184E-01,-1.630462420396729E-04,2.254857717608190E-03,-1.707388948058253E-02,-1.234885735990771E-05,5.763501176287265E-03,9.979192940858107E-01,2.445737579896647E-04,
2332218.5,1673-Apr-18,-8.432481453874195E-01,-5.451976149152408E-01,-4.520070646181960E-04,9.087643025143975E-03,-1.449082474570254E-02,-1.036676333880463E-05,5.799460435393071E-03,1.004145446794923E+00,2.362502854777327E-04,
2332228.5,1673-Apr-28,-7.406074887013979E-01,-6.814092913686298E-01,-5.429087856513402E-04,1.138246076713339E-02,-1.269066188023425E-02,-8.231725470969570E-06,5.812416827138881E-03,1.006388776484535E+00,2.162223079003922E-04,
2332232.5,1673-May-02,-6.934162739180890E-01,-7.305611521066324E-01,-5.754753896335691E-04,1.220426918541627E-02,-1.187700697259068E-02,-8.078370310525304E-06,5.817372188424627E-03,1.007246770694124E+00,2.127042629139509E-04,
2332241.5,1673-May-11,-5.759463648423299E-01,-8.285868006760967E-01,-6.450855374959808E-04,1.385155501762052E-02,-9.864763499467138E-03,-7.070396836801253E-06,5.828040943017310E-03,1.009094008289166E+00,1.942976839005221E-04,
2332248.5,1673-May-18,-4.751483829210694E-01,-8.916588226871269E-01,-6.873086444323697E-04,1.491203881123949E-02,-8.133268823271419E-03,-4.850678854003346E-06,5.835337223487143E-03,1.010357320091003E+00,1.649645199165105E-04,
2332326.5,1673-Aug-04,7.356694988902093E-01,-6.946589668028830E-01,-4.682334513289557E-04,1.155553456974137E-02,1.242174909210488E-02,9.677759938085051E-06,5.843731298209013E-03,1.011810709075361E+00,-1.263374603376674E-04,
