JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2333388.5,1676-Jul-01,2.451277317738281E-01,-9.819630461705654E-01,-5.784902440714684E-04,1.638403383384737E-02,4.168310032764280E-03,4.036138048459586E-06,5.845381998120825E-03,1.012096518905248E+00,-7.602802656568376E-05,
2333389.5,1676-Jul-02,2.614765401732508E-01,-9.776562893052847E-01,-5.742796436583311E-04,1.631280882621795E-02,4.445061664528727E-03,4.384028380046462E-06,5.844933357503676E-03,1.012018839190389E+00,-7.937421205687013E-05,
2333390.5,1676-Jul-03,2.777517932289414E-01,-9.730732245330547E-01,-5.697252774242960E-04,1.623691571948167E-02,4.720908000874882E-03,4.722691801731485E-06,5.844464664853678E-03,1.011937687573667E+00,-8.296894681351860E-05,
2333391.5,1676-Jul-04,2.939488028755116E-01,-9.682148115817603E-01,-5.648391033883381E-04,1.615631679294312E-02,4.995739401350003E-03,5.046858757808296E-06,5.843974538536275E-03,1.011852824832477E+00,-8.679301132971427E-05,
2333392.5,1676-Jul-05,3.100628494483519E-01,-9.630821216751340E-01,-5.596378202479058E-04,1.607098606128842E-02,5.269442906923827E-03,5.352269244731670E-06,5.843461715171582E-03,1.011764032219370E+00,-9.082504975895333E-05,
2333393.5,1676-Jul-06,3.260891919726006E-01,-9.576763400289852E-01,-5.541419940328399E-04,1.598090648303693E-02,5.541903557654999E-03,5.635411000369596E-06,5.842925057281784E-03,1.011671112786169E+00,-9.504290025493133E-05,
2333394.5,1676-Jul-07,3.420230760645896E-01,-9.519987678751263E-01,-5.483754060682935E-04,1.588606806226022E-02,5.813004154173924E-03,5.893346008773769E-06,5.842363557808255E-03,1.011573892166078E+00,-9.942344276159871E-05,
2333395.5,1676-Jul-08,3.578597405292078E-01,-9.460508251755647E-01,-5.423645180143355E-04,1.578646716404039E-02,6.082624238017108E-03,6.123651662019784E-06,5.841776348447888E-03,1.011472220017074E+00,-1.039415177039965E-04,
2333396.5,1676-Jul-09,3.735944239007911E-01,-9.398340544584339E-01,-5.361379377145702E-04,1.568210707184471E-02,6.350638972663273E-03,6.324476199408065E-06,5.841162715685847E-03,1.011365972797894E+00,-1.085684220830401E-04,
2333397.5,1676-Jul-10,3.892223720944488E-01,-9.333501255787108E-01,-5.297257798316502E-04,1.557299960533609E-02,6.616918498643348E-03,6.494689084687394E-06,5.840522125624154E-03,1.011255058066968E+00,-1.132704396665561E-04,
2333398.5,1676-Jul-11,4.047388480630520E-01,-9.266008406967740E-01,-5.231588426429218E-04,1.545916744123036E-02,6.881328202212406E-03,6.634091335765754E-06,5.839854256215881E-03,1.011139420063598E+00,-1.180078072508132E-04,
2333399.5,1676-Jul-12,4.201391439250804E-01,-9.195881384176910E-01,-5.164675636324558E-04,1.534064664455607E-02,7.143730147798676E-03,6.743639243120253E-06,5.839159033435301E-03,1.011019045970628E+00,-1.227344260595789E-04,
2333400.5,1676-Jul-13,4.354185955026121E-01,-9.123140959024706E-01,-5.096807655764940E-04,1.521748887037554E-02,7.403985681400879E-03,6.825631721361647E-06,5.838436666540437E-03,1.010893972019960E+00,-1.273984754527658E-04,
