JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes

2331457.5,1671-Mar-19,-4.143322788347379E+00,3.377778603604849E+00,8.010452510102684E-02,-4.850187901537948E-03,-5.500755707906905E-03,1.307405698160218E-04,3.087765639298887E-02,5.346300474005468E+00,2.854370129513106E-04,
2331496.5,1671-Apr-27,-4.326277550765701E+00,3.158403631666039E+00,8.508413457997170E-02,-4.530213828099153E-03,-5.746999431956553E-03,1.245375690226919E-04,3.094051970478536E-02,5.357184919035157E+00,2.721979362148074E-04,
2331503.5,1671-May-04,-4.357787086754278E+00,3.118028865823564E+00,8.595192624458528E-02,-4.471581526679239E-03,-5.788880649273293E-03,1.233971923273690E-04,3.095149796697063E-02,5.359085746208626E+00,2.699918538320704E-04,
2331676.5,1671-Oct-24,-5.000432164630930E+00,2.037466471528272E+00,1.046572604433107E-01,-2.928399529594051E-03,-6.640336640624646E-03,9.195148083507384E-05,3.119129864940726E-02,5.400605947284151E+00,2.080180140492635E-04,
2331747.5,1672-Jan-03,-5.184389738202994E+00,1.557103852693015E+00,1.106813634438677E-01,-2.250779380299069E-03,-6.880076028266862E-03,7.761990829721330E-05,3.127042903164537E-02,5.414306948250140E+00,1.781420444473787E-04,
2331754.5,1672-Jan-10,-5.199907048840429E+00,1.508875391522464E+00,1.112197294388923E-01,-2.182959078935688E-03,-6.899516430665283E-03,7.618877343846534E-05,3.127756899476018E-02,5.415543194540961E+00,1.752635713398099E-04,
2331756.5,1672-Jan-12,-5.204253564186292E+00,1.495071814776195E+00,1.113717270570703E-01,-2.164360864021709E-03,-6.904944718516754E-03,7.576827936359635E-05,3.127959013749934E-02,5.415893144558115E+00,1.752126432942101E-04,
2331786.5,1672-Feb-11,-5.264789807025716E+00,1.286719587688469E+00,1.135509477874944E-01,-1.871993785640132E-03,-6.983547341032796E-03,6.946362921493685E-05,3.130871828390444E-02,5.420936526767908E+00,1.619045533548124E-04,
2331795.5,1672-Feb-20,-5.281238364260217E+00,1.223779019735267E+00,1.141678493639226E-01,-1.783476935684690E-03,-7.004712735969923E-03,6.756481580016353E-05,3.131702483121229E-02,5.422374760850316E+00,1.575804138143716E-04,
2331811.5,1672-Mar-07,-5.308516636914897E+00,1.111435987858735E+00,1.152221492115973E-01,-1.625932848904770E-03,-7.039013744667602E-03,6.417756739437717E-05,3.133127668288781E-02,5.424842392473601E+00,1.502851147231521E-04,
2331818.5,1672-Mar-14,-5.319659437157555E+00,1.062115774407169E+00,1.156662068552688E-01,-1.556643046592647E-03,-7.053054114932131E-03,6.268325054019209E-05,3.133730737407348E-02,5.425886574283715E+00,1.468702234720039E-04,
2331827.5,1672-Mar-23,-5.333276298379644E+00,9.985669649994608E-01,1.162218176791464E-01,-1.468928372452094E-03,-7.069549212826747E-03,6.076164167109728E-05,3.134488230256217E-02,5.427198132494423E+00,1.440604121689293E-04,
2331832.5,1672-Mar-28,-5.340497141856170E+00,9.631938960621920E-01,1.165228698362544E-01,-1.418911375803740E-03,-7.079562972820541E-03,5.966252262589734E-05,3.134900584426448E-02,5.427912101607787E+00,1.410583551914333E-04,
2331841.5,1672-Apr-06,-5.352868165753006E+00,8.994158307038588E-01,1.170513409850795E-01,-1.330529016558257E-03,-7.093866485107531E-03,5.774650516987081E-05,3.135624988358005E-02,5.429166368134160E+00,1.378793453449997E-04,
2331848.5,1672-Apr-13,-5.361938480924433E+00,8.497152217557570E-01,1.174501846249812E-01,-1.260958139945951E-03,-7.105587489509751E-03,5.622007105592953E-05,3.136175311495030E-02,5.430119223108282E+00,1.344458844799794E-04,
2331857.5,1672-Apr-22,-5.372884845639259E+00,7.857042232717382E-01,1.179474233067628E-01,-1.172188564132070E-03,-7.119596297374064E-03,5.424329368638651E-05,3.136863364264180E-02,5.431310549548033E+00,1.308220444881981E-04,
2331864.5,1672-Apr-29,-5.380844723208948E+00,7.358350293912789E-01,1.183219295498840E-01,-1.102706905345495E-03,-7.129859587191005E-03,5.270401105924973E-05,3.137384848749549E-02,5.432213471944677E+00,1.276330979705287E-04,
2332077.5,1672-Nov-28,-5.389537191346816E+00,-7.920796532021305E-01,1.245009168403656E-01,1.017795629544472E-03,-7.117246347052123E-03,4.973535579484430E-06,3.146995185834228E-02,5.448853254788703E+00,2.800549442444129E-05,
2332145.5,1673-Feb-04,-5.297661949869783E+00,-1.272060437079390E+00,1.243112599194906E-01,1.682001470428576E-03,-6.990280314462258E-03,-1.056078272972037E-05,3.147462133228050E-02,5.449661749138516E+00,-3.656920835902866E-06,
2332147.5,1673-Feb-06,-5.294277172761319E+00,-1.286035152954749E+00,1.242897434035315E-01,1.701952898555281E-03,-6.985096375705034E-03,-1.099031468354795E-05,3.147456408054460E-02,5.449651836307734E+00,-5.302518080534550E-06,
2332154.5,1673-Feb-13,-5.282126267547495E+00,-1.334869485914786E+00,1.242073352499227E-01,1.769760399905988E-03,-6.967830502537544E-03,-1.256629391978568E-05,3.147427622590792E-02,5.449601995822404E+00,-8.902375010883008E-06,
2332168.5,1673-Feb-27,-5.256409585332737E+00,-1.432173556884985E+00,1.240091666440719E-01,1.904549442990823E-03,-6.932528746141469E-03,-1.574612958602218E-05,3.147331135693544E-02,5.449434933938583E+00,-1.549890231555404E-05,
2332170.5,1673-Mar-01,-5.252580789000150E+00,-1.446032553543886E+00,1.239772540046715E-01,1.923792999320588E-03,-6.926999676848618E-03,-1.619415276480148E-05,3.147312289129121E-02,5.449402302123842E+00,-1.655572863261883E-05,
2332184.5,1673-Mar-15,-5.224712862328096E+00,-1.542746492227279E+00,1.237283304367554E-01,2.057737898169405E-03,-6.888904734258130E-03,-1.936955203929144E-05,3.147154075952857E-02,5.449128364500958E+00,-2.305921309447584E-05,
2332186.5,1673-Mar-17,-5.220578447517134E+00,-1.556517647391668E+00,1.236891703985999E-01,2.076292316997917E-03,-6.883343264463724E-03,-1.983213155356207E-05,3.147126814810868E-02,5.449081163296799E+00,-2.346352949056190E-05,
2332193.5,1673-Mar-24,-5.205808057483019E+00,-1.604627435328355E+00,1.235449592002281E-01,2.142390840344796E-03,-6.863015926014737E-03,-2.141684610338248E-05,3.147023184440734E-02,5.448901732873090E+00,-2.623240523531019E-05,
2332218.5,1673-Apr-18,-5.149259627011620E+00,-1.775250439621799E+00,1.229394592708272E-01,2.380923786068321E-03,-6.785955496580194E-03,-2.703668650866485E-05,3.146544735203347E-02,5.448073323698485E+00,-3.974765220453161E-05,
2332228.5,1673-Apr-28,-5.124987796610731E+00,-1.842938282405011E+00,1.226579864203399E-01,2.473067879801771E-03,-6.751861118754500E-03,-2.927484396629340E-05,3.146304266552380E-02,5.447656965136071E+00,-4.309562181606099E-05,
2332232.5,1673-May-02,-5.115017795674738E+00,-1.869922318022950E+00,1.225390144748055E-01,2.511940476627661E-03,-6.739555952369008E-03,-3.019492928959521E-05,3.146201741162389E-02,5.447479447926173E+00,-4.586969257852833E-05,
2332241.5,1673-May-11,-5.092033586129336E+00,-1.930430120921786E+00,1.222584073264026E-01,2.596064339072379E-03,-6.707268641130086E-03,-3.218148190704540E-05,3.145951587332931E-02,5.447046319997038E+00,-5.053525028240654E-05,
2332248.5,1673-May-18,-5.073637841264143E+00,-1.977295148740313E+00,1.220275758870468E-01,2.661277451557119E-03,-6.682807234727709E-03,-3.376266408819221E-05,3.145743451846543E-02,5.446685944573665E+00,-5.371993872257333E-05,
2332326.5,1673-Aug-04,-4.838242310504951E+00,-2.486527582112182E+00,1.187203449233800E-01,3.370476108429147E-03,-6.362810048316266E-03,-5.097396810595484E-05,3.142513743697362E-02,5.441093878262317E+00,-9.040995938518682E-05,
2332461.5,1673-Dec-17,-4.304954379274283E+00,-3.299045845051126E+00,1.098919195542676E-01,4.510736460463551E-03,-5.639904936424971E-03,-7.948078899776705E-05,3.133100889548245E-02,5.424796026521665E+00,-1.513317781324294E-04,
