JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR
2332111.5,1673-Jan-01,-5.349249726701802E+00,-1.033163748316153E+00,1.245376148196745E-01,1.351510089645546E-03,-7.060547469067756E-03,-2.772859182222441E-06,3.147387756380190E-02,5.449532969618494E+00,1.188934643160003E-05
2332112.5,1673-Jan-02,-5.347893341791566E+00,-1.040223874782910E+00,1.245347097274296E-01,1.361735461168449E-03,-7.059216986785985E-03,-3.013079909099920E-06,3.147394550438433E-02,5.449544733165683E+00,1.107887186691754E-05
2332113.5,1673-Jan-03,-5.346527090154208E+00,-1.047281715161253E+00,1.245315916291894E-01,1.370595446277746E-03,-7.057110107141667E-03,-3.249407725555249E-06,3.147400974786351E-02,5.449555856579288E+00,1.146002383512805E-05
2332114.5,1673-Jan-04,-5.345151185282809E+00,-1.054338113396960E+00,1.245282251000973E-01,1.381055169026444E-03,-7.055025601942665E-03,-3.461461425011394E-06,3.147407243358247E-02,5.449566710275072E+00,1.027653440845760E-05
2332115.5,1673-Jan-05,-5.343765972071343E+00,-1.061392294959694E+00,1.245246363338835E-01,1.389824880531748E-03,-7.054028063731121E-03,-3.733961912432814E-06,3.147413465689929E-02,5.449577483908406E+00,1.095996184605531E-05
2332116.5,1673-Jan-06,-5.342370522782265E+00,-1.068445475777285E+00,1.245207959536418E-01,1.400621100023762E-03,-7.051841743755791E-03,-3.937084897438670E-06,3.147419252932687E-02,5.449587504208619E+00,9.428471361293369E-06
2332117.5,1673-Jan-07,-5.340965053892701E+00,-1.075496643348281E+00,1.245167313936325E-01,1.410946791427703E-03,-7.050477923256527E-03,-4.182418584362452E-06,3.147424614876199E-02,5.449596788126020E+00,8.519355699098432E-06
2332118.5,1673-Jan-08,-5.339548895799902E+00,-1.082545257211350E+00,1.245124700857448E-01,1.420545817486370E-03,-7.046928568730682E-03,-4.358231643319711E-06,3.147429110922193E-02,5.449604572788341E+00,7.890956863487081E-06
2332119.5,1673-Jan-09,-5.338123654646377E+00,-1.089591613314181E+00,1.245079802244056E-01,1.430520752499704E-03,-7.045443397125666E-03,-4.600740149087416E-06,3.147433682572470E-02,5.449612488355419E+00,7.300801924578716E-06
2332120.5,1673-Jan-10,-5.336688549924732E+00,-1.096635475655180E+00,1.245032811572219E-01,1.439336894666160E-03,-7.042862984501166E-03,-4.823996418291103E-06,3.147437860269628E-02,5.449619721813818E+00,7.626233108496760E-06
2332121.5,1673-Jan-11,-5.335244073406489E+00,-1.103677639106580E+00,1.244983354577280E-01,1.449636666091267E-03,-7.040799543304173E-03,-5.042331539369764E-06,3.147442013474006E-02,5.449626912864281E+00,6.602254560224674E-06
2332122.5,1673-Jan-12,-5.333790367211630E+00,-1.110717339893792E+00,1.244931725378980E-01,1.458033362841833E-03,-7.039393907750315E-03,-5.307660619936046E-06,3.147446133504450E-02,5.449634046475862E+00,7.573316303578005E-06
2332123.5,1673-Jan-13,-5.332326840495274E+00,-1.117756027212055E+00,1.244877511785646E-01,1.468710693252103E-03,-7.037383328078617E-03,-5.519254031089921E-06,3.147450056344855E-02,5.449640838663470E+00,6.192169665378290E-06
2332124.5,1673-Jan-14,-5.330853459735568E+00,-1.124792667455777E+00,1.244821041580989E-01,1.478650970726628E-03,-7.036065403497413E-03,-5.772346694008898E-06,3.147453642580672E-02,5.449647048038302E+00,5.674601752876496E-06
2332125.5,1673-Jan-15,-5.329369487143754E+00,-1.131826996844042E+00,1.244762494962387E-01,1.488460904710638E-03,-7.032566451608294E-03,-5.947792246955756E-06,3.147456444140523E-02,5.449651898788815E+00,4.835185857079816E-06
2332126.5,1673-Jan-16,-5.327876509428654E+00,-1.138858986376867E+00,1.244701671545593E-01,1.498168064651526E-03,-7.031248008806981E-03,-6.201082626957554E-06,3.147459353019702E-02,5.449656935356985E+00,4.545917650225312E-06
2332127.5,1673-Jan-17,-5.326373609637718E+00,-1.145888664655599E+00,1.244638690382854E-01,1.507148184365053E-03,-7.028572602923539E-03,-6.419676751327591E-06,3.147461854285185E-02,5.449661266163917E+00,4.684390520859850E-06
2332128.5,1673-Jan-18,-5.324861395013117E+00,-1.152916664642250E+00,1.244573207920461E-01,1.517493966627710E-03,-7.026793080645054E-03,-6.650188274684828E-06,3.147464367081319E-02,5.449665616935555E+00,3.676213991850949E-06
2332129.5,1673-Jan-19,-5.323339704758123E+00,-1.159942202591813E+00,1.244505558807638E-01,1.525941267729505E-03,-7.025100376573876E-03,-6.907714792588505E-06,3.147466705517089E-02,5.449669665811578E+00,4.541008752824954E-06
2332130.5,1673-Jan-20,-5.321808256621848E+00,-1.166966746203329E+00,1.244435277303672E-01,1.536817998263679E-03,-7.023301409202464E-03,-7.127080010019101E-06,3.147468890390638E-02,5.449673448802859E+00,3.013311199828235E-06
2332131.5,1673-Jan-21,-5.320266736125030E+00,-1.173989162376145E+00,1.244362765714955E-01,1.546739101931942E-03,-7.021841889501118E-03,-7.379433934023615E-06,3.147470606470240E-02,5.449676420102582E+00,2.492517792188600E-06
2332132.5,1673-Jan-22,-5.318714446770416E+00,-1.181009318879397E+00,1.244288138203098E-01,1.557036378597191E-03,-7.018223533213759E-03,-7.548600588772174E-06,3.147471444947719E-02,5.449677871881332E+00,1.140663804548528E-06
2332133.5,1673-Jan-23,-5.317152960613211E+00,-1.188026758663973E+00,1.244211344883437E-01,1.566628291229041E-03,-7.016672403607556E-03,-7.800371584726425E-06,3.147472234348345E-02,5.449679238686148E+00,9.214825449310703E-07
2332134.5,1673-Jan-24,-5.315581421124771E+00,-1.195041727011555E+00,1.244132422117659E-01,1.575849184714463E-03,-7.013574067333239E-03,-8.004941718316434E-06,3.147472521772866E-02,5.449679736346279E+00,7.272163916763837E-07
2332135.5,1673-Jan-25,-5.314000642379249E+00,-1.202054638382023E+00,1.244051073839597E-01,1.586073554711256E-03,-7.011698804807720E-03,-8.238870749780901E-06,3.147472817606074E-02,5.449680248565600E+00,-1.790517783407916E-07
2332136.5,1673-Jan-26,-5.312410312311420E+00,-1.209064795840380E+00,1.243967626874646E-01,1.594418481779953E-03,-7.009417850138637E-03,-8.481084738681965E-06,3.147472857340493E-02,5.449680317363614E+00,6.569482053961753E-07
2332137.5,1673-Jan-27,-5.310810570910832E+00,-1.216073683501177E+00,1.243881560881221E-01,1.605104438535400E-03,-7.007652130782759E-03,-8.706984965560679E-06,3.147472909043263E-02,5.449680406884184E+00,-6.729433186861972E-07
2332138.5,1673-Jan-28,-5.309200882234477E+00,-1.223080258443771E+00,1.243793293017318E-01,1.614662678846248E-03,-7.005944194807241E-03,-8.957535507364281E-06,3.147472538481974E-02,5.449679765277202E+00,-8.900733770845822E-07
2332139.5,1673-Jan-29,-5.307580665041184E+00,-1.230084628130098E+00,1.243702836409015E-01,1.625056467566342E-03,-7.002366999995706E-03,-9.128465919023409E-06,3.147471432678565E-02,5.449677850637953E+00,-2.339512514325504E-06
2332140.5,1673-Jan-30,-5.305951360724750E+00,-1.237086066610876E+00,1.243610260920296E-01,1.634224382889269E-03,-7.000729019814979E-03,-9.384335749621502E-06,3.147470307586265E-02,5.449675902601022E+00,-2.161194064172792E-06
2332141.5,1673-Jan-31,-5.304312169043088E+00,-1.244085146174875E+00,1.243515485955207E-01,1.643503876003613E-03,-6.997575876439465E-03,-9.586341829981544E-06,3.147468786883056E-02,5.449673269585037E+00,-2.434912707787360E-06
2332142.5,1673-Feb-01,-5.302663936796516E+00,-1.251082112490766E+00,1.243418270496894E-01,1.653471966202980E-03,-6.995937583945336E-03,-9.833587554781454E-06,3.147467378606193E-02,5.449670831229234E+00,-3.034407227120137E-06
2332143.5,1673-Feb-02,-5.301006098831079E+00,-1.258076445182037E+00,1.243318908329409E-01,1.661850040580508E-03,-6.993455775287104E-03,-1.006948874102008E-05,3.147465696296650E-02,5.449667918400556E+00,-2.280355043634357E-06
2332144.5,1673-Feb-03,-5.299339060101508E+00,-1.265069537433347E+00,1.243216873165084E-01,1.672468429976994E-03,-6.992042277893533E-03,-1.031007226289321E-05,3.147464152684468E-02,5.449665245718914E+00,-3.456974380109667E-06
2332145.5,1673-Feb-04,-5.297661949869783E+00,-1.272060437079390E+00,1.243112599194906E-01,1.682001470428576E-03,-6.990280314462258E-03,-1.056078272972037E-05,3.147462133228050E-02,5.449661749138516E+00,-3.656920835902866E-06
2332146.5,1673-Feb-05,-5.295974255935148E+00,-1.279049337887639E+00,1.243006044862265E-01,1.692812081529395E-03,-6.986919796372853E-03,-1.073666414217519E-05,3.147459377154930E-02,5.449656977145836E+00,-5.469819193937960E-06
2332147.5,1673-Feb-06,-5.294277172761319E+00,-1.286035152954749E+00,1.242897434035315E-01,1.701952898555281E-03,-6.985096375705034E-03,-1.099031468354795E-05,3.147456408054460E-02,5.449651836307734E+00,-5.302518080534550E-06
2332148.5,1673-Feb-07,-5.292570040927174E+00,-1.293018615529708E+00,1.242786604349003E-01,1.711640658809619E-03,-6.981779383106235E-03,-1.118462675236942E-05,3.147452954532616E-02,5.449645856720025E+00,-6.018257160796048E-06
2332149.5,1673-Feb-08,-5.290853740249442E+00,-1.299999664987000E+00,1.242673413547774E-01,1.721560980757244E-03,-6.980047031876473E-03,-1.143449818187860E-05,3.147449501613507E-02,5.449639878175915E+00,-6.585661908882408E-06
2332150.5,1673-Feb-09,-5.289127607830940E+00,-1.306977911609130E+00,1.242558114601294E-01,1.730169227590031E-03,-6.977043793816856E-03,-1.165383663579495E-05,3.147445623715848E-02,5.449633163804259E+00,-6.182390067895174E-06
2332151.5,1673-Feb-10,-5.287392406269132E+00,-1.313954533094561E+00,1.242440210562927E-01,1.740641754538334E-03,-6.975582650775957E-03,-1.189929579417631E-05,3.147441910687421E-02,5.449626734894828E+00,-7.218102869955762E-06
2332152.5,1673-Feb-11,-5.285647096778916E+00,-1.320928741929000E+00,1.242320112902857E-01,1.750048316823199E-03,-6.973398493463698E-03,-1.214038984943475E-05,3.147437672323719E-02,5.449619396395565E+00,-7.391989828550628E-06
2332153.5,1673-Feb-12,-5.283891389507189E+00,-1.327900822519815E+00,1.242197716569044E-01,1.760952650447080E-03,-6.970045459245820E-03,-1.231887783967760E-05,3.147432786454874E-02,5.449610936775900E+00,-9.300424832981637E-06
2332154.5,1673-Feb-13,-5.282126267547495E+00,-1.334869485914786E+00,1.242073352499227E-01,1.769760399905988E-03,-6.967830502537544E-03,-1.256629391978568E-05,3.147427622590792E-02,5.449601995822404E+00,-8.902375010883008E-06
2332155.5,1673-Feb-14,-5.280351330707230E+00,-1.341835709430363E+00,1.241946744515810E-01,1.779477619980478E-03,-6.964399376568880E-03,-1.275763121807709E-05,3.147422093108591E-02,5.449592421820758E+00,-9.683599466553241E-06
2332156.5,1673-Feb-15,-5.278567432012597E+00,-1.348799270968012E+00,1.241817820025489E-01,1.788970488015414E-03,-6.962639877129908E-03,-1.301430265548308E-05,3.147416643504476E-02,5.449582986123730E+00,-9.838166336031383E-06
2332157.5,1673-Feb-16,-5.276773825193178E+00,-1.355760073482991E+00,1.241686739033363E-01,1.797582404624262E-03,-6.959410748500988E-03,-1.322673647978659E-05,3.147410841892739E-02,5.449572940944398E+00,-9.502928110710135E-06
2332158.5,1673-Feb-17,-5.274971482529311E+00,-1.362719120708321E+00,1.241553042625198E-01,1.807674943141834E-03,-6.958194175753179E-03,-1.348679717124704E-05,3.147405375612150E-02,5.449563476372952E+00,-1.010062246284648E-05
2332159.5,1673-Feb-18,-5.273159118746982E+00,-1.369675916615588E+00,1.241417083050872E-01,1.816966108182146E-03,-6.955955293438998E-03,-1.372752946779084E-05,3.147399455962879E-02,5.449553226817966E+00,-1.017535126051195E-05
2332160.5,1673-Feb-19,-5.271336535281416E+00,-1.376630796827027E+00,1.241278717603880E-01,1.827995406723365E-03,-6.953014658696965E-03,-1.392004701589529E-05,3.147393021585711E-02,5.449542086039255E+00,-1.210610517448428E-05
2332161.5,1673-Feb-20,-5.269504322026836E+00,-1.383582306681951E+00,1.241138384114830E-01,1.836751519054486E-03,-6.950665779208282E-03,-1.416526957541379E-05,3.147386190876134E-02,5.449530259032248E+00,-1.169091267053942E-05
2332162.5,1673-Feb-21,-5.267662274642133E+00,-1.390531521716253E+00,1.240995737821033E-01,1.846801656401095E-03,-6.947376334476368E-03,-1.435889995580218E-05,3.147379005963738E-02,5.449517818742072E+00,-1.276508556059707E-05
2332163.5,1673-Feb-22,-5.265811085436884E+00,-1.397477960728848E+00,1.240850815348406E-01,1.856231885989540E-03,-6.945589570728015E-03,-1.461902132221325E-05,3.147371782681260E-02,5.449505312016159E+00,-1.285843236500945E-05
2332164.5,1673-Feb-23,-5.263949967911453E+00,-1.404421692594698E+00,1.240703708333889E-01,1.865259339234966E-03,-6.942116971326853E-03,-1.482125612414722E-05,3.147364091872817E-02,5.449491995794129E+00,-1.299406452003106E-05
2332165.5,1673-Feb-24,-5.262080063433082E+00,-1.411363362339842E+00,1.240554056692523E-01,1.875237334086954E-03,-6.940878659614317E-03,-1.508671353298572E-05,3.147356665974049E-02,5.449479138248985E+00,-1.347261523224818E-05
2332166.5,1673-Feb-25,-5.260199979955682E+00,-1.418302697579237E+00,1.240402152715169E-01,1.884676598028487E-03,-6.938282888748234E-03,-1.531665020772356E-05,3.147348689045446E-02,5.449465326625255E+00,-1.377939698322943E-05
2332167.5,1673-Feb-26,-5.258309718098735E+00,-1.425239952066925E+00,1.240247850449906E-01,1.895837473034958E-03,-6.935410399855605E-03,-1.551457467448882E-05,3.147340200501283E-02,5.449450629166649E+00,-1.581825769161314E-05
2332168.5,1673-Feb-27,-5.256409585332737E+00,-1.432173556884985E+00,1.240091666440719E-01,1.904549442990823E-03,-6.932528746141469E-03,-1.574612958602218E-05,3.147331135693544E-02,5.449434933938583E+00,-1.549890231555404E-05
2332169.5,1673-Feb-28,-5.254499742507424E+00,-1.439104634550638E+00,1.239933192028817E-01,1.914709157145701E-03,-6.929109131570330E-03,-1.593714570439657E-05,3.147321752783727E-02,5.449418687933847E+00,-1.671771127531645E-05
2332170.5,1673-Mar-01,-5.252580789000150E+00,-1.446032553543886E+00,1.239772540046715E-01,1.923792999320588E-03,-6.926999676848618E-03,-1.619415276480148E-05,3.147312289129121E-02,5.449402302123842E+00,-1.655572863261883E-05
2332171.5,1673-Mar-02,-5.250652051236206E+00,-1.452957650791723E+00,1.239609690609091E-01,1.932902161447927E-03,-6.923243629461072E-03,-1.638804166191766E-05,3.147302420351794E-02,5.449385214865590E+00,-1.685481444765496E-05
2332172.5,1673-Mar-03,-5.248714801268052E+00,-1.459880318226600E+00,1.239444363976090E-01,1.942358499040223E-03,-6.921944493290295E-03,-1.666059306737653E-05,3.147292914135007E-02,5.449368755361454E+00,-1.683502541413478E-05
2332173.5,1673-Mar-04,-5.246767603121539E+00,-1.466800678243864E+00,1.239276733721160E-01,1.951652039575464E-03,-6.919178856873794E-03,-1.688677353732798E-05,3.147282991115967E-02,5.449351574186585E+00,-1.704811865192259E-05
2332174.5,1673-Mar-05,-5.244810572205425E+00,-1.473718980340206E+00,1.239106643590193E-01,1.962609721435723E-03,-6.916654266718175E-03,-1.710060373594459E-05,3.147272755291303E-02,5.449333851405570E+00,-1.879688283899572E-05
