JDTDB,CalendarDate(TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,Note
2332111.500000000,A.D.1673-Jan-0100:00:00.0000,-5.349249726701802E+00,-1.033163748316153E+00,1.245376148196745E-01,1.351510089645546E-03,-7.060547469067756E-03,-2.772859182222441E-06,3.147387756380190E-02,5.449532969618494E+00,1.188934643160003E-05,
2332121.500000000,A.D.1673-Jan-1100:00:00.0000,-5.335244073406489E+00,-1.103677639106580E+00,1.244983354577280E-01,1.449636666091267E-03,-7.040799543304173E-03,-5.042331539369764E-06,3.147442013474006E-02,5.449626912864281E+00,6.602254560224674E-06,
2332131.500000000,A.D.1673-Jan-2100:00:00.0000,-5.320266736125030E+00,-1.173989162376145E+00,1.244362765714955E-01,1.546739101931942E-03,-7.021841889501118E-03,-7.379433934023615E-06,3.147470606470240E-02,5.449676420102582E+00,2.492517792188600E-06,
2332141.500000000,A.D.1673-Jan-3100:00:00.0000,-5.304312169043088E+00,-1.244085146174875E+00,1.243515485955207E-01,1.643503876003613E-03,-6.997575876439465E-03,-9.586341829981544E-06,3.147468786883056E-02,5.449673269585037E+00,-2.434912707787360E-06,
2332151.500000000,A.D.1673-Feb-1000:00:00.0000,-5.287392406269132E+00,-1.313954533094561E+00,1.242440210562927E-01,1.740641754538334E-03,-6.975582650775957E-03,-1.189929579417631E-05,3.147441910687421E-02,5.449626734894828E+00,-7.218102869955762E-06,
2332161.500000000,A.D.1673-Feb-2000:00:00.0000,-5.269504322026836E+00,-1.383582306681951E+00,1.241138384114830E-01,1.836751519054486E-03,-6.950665779208282E-03,-1.416526957541379E-05,3.147386190876134E-02,5.449530259032248E+00,-1.169091267053942E-05,
2332171.500000000,A.D.1673-Mar-0200:00:00.0000,-5.250652051236206E+00,-1.452957650791723E+00,1.239609690609091E-01,1.932902161447927E-03,-6.923243629461072E-03,-1.638804166191766E-05,3.147302420351794E-02,5.449385214865590E+00,-1.685481444765496E-05,
2332181.500000000,A.D.1673-Mar-1200:00:00.0000,-5.230844000251820E+00,-1.522067129688861E+00,1.237853950384849E-01,2.029664330222940E-03,-6.898138267664854E-03,-1.870509782695636E-05,3.147193302174028E-02,5.449196282597517E+00,-2.197450462858328E-05,
2332191.500000000,A.D.1673-Mar-2200:00:00.0000,-5.210075080666308E+00,-1.590896966178623E+00,1.235872795199573E-01,2.124055590442448E-03,-6.868434298990769E-03,-2.094398698004175E-05,3.147053881492853E-02,5.448954883171224E+00,-2.607953753931769E-05,
2332201.500000000,A.D.1673-Apr-0100:00:00.0000,-5.188357307520069E+00,-1.659436629470026E+00,1.233665067771388E-01,2.219164018141929E-03,-6.838959851828657E-03,-2.320554637166456E-05,3.146889134900070E-02,5.448669633288307E+00,-3.080718101921864E-05,
2332211.500000000,A.D.1673-Apr-1100:00:00.0000,-5.165689384984724E+00,-1.727671787294385E+00,1.231232061280108E-01,2.314474912429949E-03,-6.808319296484756E-03,-2.546093082611522E-05,3.146695955791549E-02,5.448335154030455E+00,-3.605728087655492E-05,
2332221.500000000,A.D.1673-Apr-2100:00:00.0000,-5.142075578790882E+00,-1.795590862177220E+00,1.228574084629631E-01,2.407666715207188E-03,-6.775030114871069E-03,-2.769804248235314E-05,3.146474704278267E-02,5.447952068910497E+00,-4.012975148277517E-05,
2332231.500000000,A.D.1673-May-0100:00:00.0000,-5.117524747638682E+00,-1.863181430273987E+00,1.225690884447805E-01,2.502604685397906E-03,-6.742377416074447E-03,-2.994887432274939E-05,3.146228004290481E-02,5.447524921122836E+00,-4.562435663463575E-05,
2332241.500000000,A.D.1673-May-1100:00:00.0000,-5.092033586129336E+00,-1.930430120921786E+00,1.222584073264026E-01,2.596064339072379E-03,-6.707268641130086E-03,-3.218148190704540E-05,3.145951587332931E-02,5.447046319997038E+00,-5.053525028240654E-05,
2332251.500000000,A.D.1673-May-2100:00:00.0000,-5.065614123974548E+00,-1.997325355683535E+00,1.219253212557680E-01,2.687838004770478E-03,-6.671914156313813E-03,-3.445069922337154E-05,3.145649768338397E-02,5.446523736607610E+00,-5.393665232140777E-05,
2332261.500000000,A.D.1673-May-3100:00:00.0000,-5.038265576421770E+00,-2.063854354008793E+00,1.215699339047488E-01,2.781331974755581E-03,-6.634031370368244E-03,-3.663769567059357E-05,3.145319607244272E-02,5.445952080393955E+00,-5.983685755536898E-05,
2332271.500000000,A.D.1673-Jun-1000:00:00.0000,-5.009993781587091E+00,-2.130005392520853E+00,1.211922957489823E-01,2.872888311546422E-03,-6.595469998134376E-03,-3.887151435515211E-05,3.144961884159198E-02,5.445332702072312E+00,-6.417915322915525E-05,
2332281.500000000,A.D.1673-Jun-2000:00:00.0000,-4.980807621344861E+00,-2.195765564704279E+00,1.207924349668500E-01,2.964233403094106E-03,-6.556532735344648E-03,-4.110889858249821E-05,3.144578629104185E-02,5.444669116515105E+00,-6.844000203397148E-05,
2332291.500000000,A.D.1673-Jun-3000:00:00.0000,-4.950704560121473E+00,-2.261123179444357E+00,1.203704818989758E-01,3.056205661802524E-03,-6.514296663451410E-03,-4.326333148982293E-05,3.144166013962960E-02,5.443954695544472E+00,-7.456927432552475E-05,
2332301.500000000,A.D.1673-Jul-1000:00:00.0000,-4.919698236200428E+00,-2.326065805822603E+00,1.199264349922238E-01,3.145884025603052E-03,-6.474052380997108E-03,-4.553872671364909E-05,3.143728492374914E-02,5.443197150397980E+00,-7.774649878822903E-05,
2332311.500000000,A.D.1673-Jul-2000:00:00.0000,-4.887787613311549E+00,-2.390580819395588E+00,1.194604346767567E-01,3.235615428895614E-03,-6.429870404422156E-03,-4.770139496371481E-05,3.143262654947084E-02,5.442390577894704E+00,-8.260608600710240E-05,
2332321.500000000,A.D.1673-Jul-3000:00:00.0000,-4.854979376966423E+00,-2.454657807101767E+00,1.189725105203200E-01,3.325443951043990E-03,-6.384441283123186E-03,-4.985671354757865E-05,3.142769628957884E-02,5.441536929856714E+00,-8.807709044893464E-05,
