JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2332077.5,1672-Nov-28,-5.389537191346816E+00,-7.920796532021305E-01,1.245009168403656E-01,1.017795629544472E-03,-7.117246347052123E-03,4.973535579484430E-06,3.146995185834228E-02,5.448853254788703E+00,2.800549442444129E-05,
2332145.5,1673-Feb-04,-5.297661949869783E+00,-1.272060437079390E+00,1.243112599194906E-01,1.682001470428576E-03,-6.990280314462258E-03,-1.056078272972037E-05,3.147462133228050E-02,5.449661749138516E+00,-3.656920835902866E-06,
2332147.5,1673-Feb-06,-5.294277172761319E+00,-1.286035152954749E+00,1.242897434035315E-01,1.701952898555281E-03,-6.985096375705034E-03,-1.099031468354795E-05,3.147456408054460E-02,5.449651836307734E+00,-5.302518080534550E-06,
2332154.5,1673-Feb-13,-5.282126267547495E+00,-1.334869485914786E+00,1.242073352499227E-01,1.769760399905988E-03,-6.967830502537544E-03,-1.256629391978568E-05,3.147427622590792E-02,5.449601995822404E+00,-8.902375010883008E-06,
2332168.5,1673-Feb-27,-5.256409585332737E+00,-1.432173556884985E+00,1.240091666440719E-01,1.904549442990823E-03,-6.932528746141469E-03,-1.574612958602218E-05,3.147331135693544E-02,5.449434933938583E+00,-1.549890231555404E-05,
2332170.5,1673-Mar-01,-5.252580789000150E+00,-1.446032553543886E+00,1.239772540046715E-01,1.923792999320588E-03,-6.926999676848618E-03,-1.619415276480148E-05,3.147312289129121E-02,5.449402302123842E+00,-1.655572863261883E-05,
2332184.5,1673-Mar-15,-5.224712862328096E+00,-1.542746492227279E+00,1.237283304367554E-01,2.057737898169405E-03,-6.888904734258130E-03,-1.936955203929144E-05,3.147154075952857E-02,5.449128364500958E+00,-2.305921309447584E-05,
2332186.5,1673-Mar-17,-5.220578447517134E+00,-1.556517647391668E+00,1.236891703985999E-01,2.076292316997917E-03,-6.883343264463724E-03,-1.983213155356207E-05,3.147126814810868E-02,5.449081163296799E+00,-2.346352949056190E-05,
2332193.5,1673-Mar-24,-5.205808057483019E+00,-1.604627435328355E+00,1.235449592002281E-01,2.142390840344796E-03,-6.863015926014737E-03,-2.141684610338248E-05,3.147023184440734E-02,5.448901732873090E+00,-2.623240523531019E-05,
2332218.5,1673-Apr-18,-5.149259627011620E+00,-1.775250439621799E+00,1.229394592708272E-01,2.380923786068321E-03,-6.785955496580194E-03,-2.703668650866485E-05,3.146544735203347E-02,5.448073323698485E+00,-3.974765220453161E-05,
2332228.5,1673-Apr-28,-5.124987796610731E+00,-1.842938282405011E+00,1.226579864203399E-01,2.473067879801771E-03,-6.751861118754500E-03,-2.927484396629340E-05,3.146304266552380E-02,5.447656965136071E+00,-4.309562181606099E-05,
2332232.5,1673-May-02,-5.115017795674738E+00,-1.869922318022950E+00,1.225390144748055E-01,2.511940476627661E-03,-6.739555952369008E-03,-3.019492928959521E-05,3.146201741162389E-02,5.447479447926173E+00,-4.586969257852833E-05,
2332241.5,1673-May-11,-5.092033586129336E+00,-1.930430120921786E+00,1.222584073264026E-01,2.596064339072379E-03,-6.707268641130086E-03,-3.218148190704540E-05,3.145951587332931E-02,5.447046319997038E+00,-5.053525028240654E-05,
2332248.5,1673-May-18,-5.073637841264143E+00,-1.977295148740313E+00,1.220275758870468E-01,2.661277451557119E-03,-6.682807234727709E-03,-3.376266408819221E-05,3.145743451846543E-02,5.446685944573665E+00,-5.371993872257333E-05,
2332326.5,1673-Aug-04,-4.838242310504951E+00,-2.486527582112182E+00,1.187203449233800E-01,3.370476108429147E-03,-6.362810048316266E-03,-5.097396810595484E-05,3.142513743697362E-02,5.441093878262317E+00,-9.040995938518682E-05,
