JDTDB,TDB,X,Y,Z,VX,VY,VZ,LT,RG,RR,Notes
2333388.5,1676-Jul-01,1.880418718222566E+00,-4.795059714975997E+00,-2.354589743442019E-02,6.940218501154290E-03,3.109459738300254E-03,-1.684514066909876E-04,2.974763492762390E-02,5.150643322470843E+00,-3.602583002978145E-04,
2333389.5,1676-Jul-02,1.887356491208176E+00,-4.791945439945759E+00,-2.371434098142042E-02,6.935972514945011E-03,3.118927350766299E-03,-1.684319054770575E-04,2.974555556864856E-02,5.150283292624861E+00,-3.594137623683349E-04,
2333390.5,1676-Jul-03,1.894290667814940E+00,-4.788820894654205E+00,-2.388272626432302E-02,6.931735797231088E-03,3.129998766374382E-03,-1.683538497282039E-04,2.974347815394921E-02,5.149923599419829E+00,-3.600558873343690E-04,
2333391.5,1676-Jul-04,1.901220496408610E+00,-4.785686355953757E+00,-2.405107554313867E-02,6.928555318520497E-03,3.139572308115417E-03,-1.683189670150025E-04,2.974140259181767E-02,5.149564226976972E+00,-3.589136172984731E-04,
2333392.5,1676-Jul-05,1.908146940965743E+00,-4.782540795413707E+00,-2.421934143743776E-02,6.923820751662097E-03,3.151024553676722E-03,-1.682378729573399E-04,2.973932543172650E-02,5.149204577855978E+00,-3.600869706587188E-04,
2333393.5,1676-Jul-06,1.915068820083929E+00,-4.779384753323643E+00,-2.438755607709361E-02,6.919951525662150E-03,3.161631075225899E-03,-1.681701182803346E-04,2.973724707067020E-02,5.148844720794322E+00,-3.601519944079749E-04,
2333394.5,1676-Jul-07,1.921985818138411E+00,-4.776217875944756E+00,-2.455570774425156E-02,6.914313609892929E-03,3.171335270994485E-03,-1.681579890598337E-04,2.973516493721252E-02,5.148484210561612E+00,-3.600372842409747E-04,
2333395.5,1676-Jul-08,1.928898611979432E+00,-4.773041650617681E+00,-2.472384096325976E-02,6.910910242443514E-03,3.181730289101339E-03,-1.680912081130312E-04,2.973308846260040E-02,5.148124680127640E+00,-3.597290803000065E-04,
2333396.5,1676-Jul-09,1.935806974332468E+00,-4.769855090516764E+00,-2.489192212440424E-02,6.906401831014038E-03,3.191062000856991E-03,-1.680740689713888E-04,2.973101187455345E-02,5.147765130053036E+00,-3.588467545852913E-04,
2333397.5,1676-Jul-10,1.942711704922956E+00,-4.766658585175805E+00,-2.505995104472165E-02,6.902404807682254E-03,3.201975196150689E-03,-1.679922627008334E-04,2.972893900738175E-02,5.147406224228008E+00,-3.592353095561279E-04,
2333398.5,1676-Jul-11,1.949612061173003E+00,-4.763452130616730E+00,-2.522794000094024E-02,6.899046860439941E-03,3.211253760983278E-03,-1.679649043483619E-04,2.972686823900623E-02,5.147047681798275E+00,-3.578655775775962E-04,
2333399.5,1676-Jul-12,1.956509230220507E+00,-4.760234918015052E+00,-2.539584760307670E-02,6.894648784682150E-03,3.222802914712599E-03,-1.678717972868612E-04,2.972479786025720E-02,5.146689206830279E+00,-3.589864593151735E-04,
