a,count
1.7,92
1.704,102
1.708,98
1.712,99
1.716,88
1.72,98
1.724,96
1.728,97
1.732,99
1.736,90
1.74,102
1.744,127
1.748,104
1.752,113
1.756,94
1.76,108
1.764,103
1.768,107
1.772,133
1.776,132
1.78,127
1.784,163
1.788,153
1.792,164
1.796,169
1.8,172
1.804,216
1.808,231
1.812,266
1.816,261
1.82,314
1.824,317
1.828,343
1.832,387
1.836,407
1.84,383
1.844,535
1.848,556
1.852,600
1.856,659
1.86,676
1.864,821
1.868,802
1.872,909
1.8760000000000001,953
1.8800000000000001,1011
1.8840000000000001,989
1.8880000000000001,1060
1.8920000000000001,1153
1.8960000000000001,1149
1.9000000000000001,1111
1.9040000000000001,1261
1.9080000000000001,1173
1.9120000000000001,1204
1.9160000000000001,1197
1.9200000000000002,1130
1.9240000000000002,1151
1.9280000000000002,1106
1.9320000000000002,1082
1.9360000000000002,981
1.9400000000000002,853
1.9440000000000002,858
1.9480000000000002,852
1.9520000000000002,787
1.9560000000000002,750
1.9600000000000002,691
1.9640000000000002,688
1.9680000000000002,594
1.9720000000000002,549
1.9760000000000002,506
1.9800000000000002,465
1.9840000000000002,386
1.9880000000000002,338
1.9920000000000002,320
1.9960000000000002,264
2.0,230
2.0040000000000004,202
2.008,164
2.0120000000000005,152
2.016,132
2.0200000000000005,126
2.024,128
2.0280000000000005,111
2.032,93
2.0360000000000005,110
2.04,93
2.0440000000000005,88
2.048,91
2.0520000000000005,91
2.056,64
2.0600000000000005,66
2.064,75
2.0680000000000005,85
2.072,65
2.0760000000000005,50
2.08,57
2.0840000000000005,73
2.088,100
2.0920000000000005,114
2.096,128
2.1000000000000005,145
2.104,148
2.1080000000000005,184
2.112,220
2.1160000000000005,248
2.12,320
2.1240000000000006,340
2.128,408
2.1320000000000006,483
2.136,548
2.1400000000000006,636
2.144,763
2.1480000000000006,840
2.152,1076
2.1560000000000006,1066
2.16,1277
2.1640000000000006,1436
2.168,1501
2.1720000000000006,1670
2.176,1753
2.1800000000000006,1991
2.184,2007
2.1880000000000006,2167
2.192,2360
2.1960000000000006,2550
2.2,2605
2.2040000000000006,2703
2.208,2875
2.2120000000000006,2928
2.216,3117
2.2200000000000006,3051
2.224,3376
2.2280000000000006,3399
2.232,3497
2.2360000000000007,3581
2.24,3576
2.2440000000000007,3824
2.248,3765
2.2520000000000007,3733
2.2560000000000002,3839
2.2600000000000007,4171
2.2640000000000002,4258
2.2680000000000007,4493
2.2720000000000002,4581
2.2760000000000007,4677
2.2800000000000002,4747
2.2840000000000007,4966
2.2880000000000003,5049
2.2920000000000007,5094
2.2960000000000003,5197
2.3000000000000007,5283
2.3040000000000003,5420
2.3080000000000007,5447
2.3120000000000003,5690
2.3160000000000007,5695
2.3200000000000003,5730
2.3240000000000007,5942
2.3280000000000003,5828
2.3320000000000007,5962
2.3360000000000003,6167
2.3400000000000007,6167
2.3440000000000003,6297
2.3480000000000008,6104
2.3520000000000003,6192
2.3560000000000008,6270
2.3600000000000003,6299
2.3640000000000008,6247
2.3680000000000003,6078
2.3720000000000008,6151
2.3760000000000003,6340
2.380000000000001,6359
2.3840000000000003,6238
2.388000000000001,6128
2.3920000000000003,5867
2.396000000000001,5633
2.4000000000000004,5319
2.404000000000001,5226
2.4080000000000004,5038
2.412000000000001,4890
2.4160000000000004,6169
2.420000000000001,4898
2.4240000000000004,4435
2.428000000000001,4408
2.4320000000000004,4141
2.436000000000001,3834
2.4400000000000004,3804
2.444000000000001,3512
2.4480000000000004,3427
2.452000000000001,3053
2.4560000000000004,2947
2.460000000000001,2636
2.4640000000000004,2439
2.468000000000001,2244
2.4720000000000004,2052
2.476000000000001,1678
2.4800000000000004,1379
2.484000000000001,1037
2.4880000000000004,641
2.492000000000001,315
2.4960000000000004,157
2.500000000000001,139
2.5040000000000004,159
2.508000000000001,593
2.5120000000000005,1345
2.516000000000001,2004
2.5200000000000005,2782
2.524000000000001,3508
2.5280000000000005,4064
2.532000000000001,4554
2.5360000000000005,5053
2.540000000000001,5331
2.5440000000000005,5911
2.548000000000001,6030
2.5520000000000005,6385
2.556000000000001,6501
2.5600000000000005,6742
