#,,,,,,,
# Chen & Kipping 2017, ApJ,834,17,,,,
# Table: J/ApJ/834/17/table1.dat (http://cdsarc.cds.unistra.fr),,,,,,,
#,,,,,,,
# converted to CSV for ease of handling with python/pandas,,,,,,,
#,,,,,,,
Name                 ,Mass,errMass,MassUnits,Rad,errRad,RadUnits,Ref
NGC6791 KR V20       ,0.827,0.004,Msun,0.768,0.006,Rsun,2010A&ARv..18...67T
HD 124784            ,0.854,0.003,Msun,0.83,0.004,Rsun,2010A&ARv..18...67T
Parenago 1478        ,0.727,0.01,Msun,1.063,0.011,Rsun,2010A&ARv..18...67T
HD 7700              ,0.764,0.004,Msun,0.835,0.018,Rsun,2010A&ARv..18...67T
BD+34 4217           ,0.814,0.013,Msun,0.838,0.011,Rsun,2010A&ARv..18...67T
TYC 3629-740-1       ,0.869,0.004,Msun,0.964,0.004,Rsun,2010A&ARv..18...67T
GU Boo A             ,0.61,0.006,Msun,0.627,0.016,Rsun,2010A&ARv..18...67T
GU Boo B             ,0.6,0.006,Msun,0.624,0.016,Rsun,2010A&ARv..18...67T
YY Gem A             ,0.599,0.005,Msun,0.619,0.006,Rsun,2010A&ARv..18...67T
YY Gem B             ,0.599,0.005,Msun,0.619,0.006,Rsun,2010A&ARv..18...67T
CU Cnc A             ,0.435,0.001,Msun,0.432,0.006,Rsun,2010A&ARv..18...67T
CU Cnc B             ,0.399,0.001,Msun,0.392,0.009,Rsun,2010A&ARv..18...67T
CM Dra A             ,0.231,0.001,Msun,0.253,0.002,Rsun,2010A&ARv..18...67T
CM Dra B             ,0.214,0.001,Msun,0.24,0.002,Rsun,2010A&ARv..18...67T
MOTESS-GNAT 78457 A  ,0.527,0.002,Msun,0.505,0.011,Rsun,2011ApJ...728...48K
MOTESS-GNAT 78457 B  ,0.491,0.001,Msun,0.471,0.011,Rsun,2011ApJ...728...48K
MOTESS-GNAT 116309 A ,0.567,0.002,Msun,0.552,0.014,Rsun,2011ApJ...728...48K
MOTESS-GNAT 116309 B ,0.532,0.002,Msun,0.532,0.009,Rsun,2011ApJ...728...48K
MOTESS-GNAT 506664 A ,0.584,0.002,Msun,0.56,0.004,Rsun,2011ApJ...728...48K
MOTESS-GNAT 506664 B ,0.544,0.002,Msun,0.513,0.008,Rsun,2011ApJ...728...48K
MOTESS-GNAT 646680 A ,0.499,0.002,Msun,0.457,0.007,Rsun,2011ApJ...728...48K
MOTESS-GNAT 646680 B ,0.443,0.002,Msun,0.427,0.006,Rsun,2011ApJ...728...48K
MOTESS-GNAT 1819499 A,0.557,0.001,Msun,0.569,0.023,Rsun,2011ApJ...728...48K
MOTESS-GNAT 1819499 B,0.535,0.001,Msun,0.5,0.014,Rsun,2011ApJ...728...48K
MOTESS-GNAT 2056316 A,0.469,0.002,Msun,0.441,0.003,Rsun,2011ApJ...728...48K
MOTESS-GNAT 2056316 B,0.382,0.001,Msun,0.374,0.003,Rsun,2011ApJ...728...48K
NSVS 11868841 A      ,0.87,0.074,Msun,0.983,0.03,Rsun,2010RMxAA..46..363C
NSVS 11868841 B      ,0.607,0.053,Msun,0.901,0.026,Rsun,2010RMxAA..46..363C
KOI-686b             ,103.4,4.8,Mjup,1.216,0.037,Rjup,2014A&A...572A.109D
KOI-189b             ,78,3.4,Mjup,0.998,0.023,Rjup,2014A&A...572A.109D
OGLE-TR-123 B        ,0.085,0.011,Msun,0.133,0.009,Rsun,2006A&A...447.1035P
GJ 570 A             ,0.802,0.04,Msun,0.739,0.019,Rsun,2009A&A...505..205D
GJ 845               ,0.762,0.038,Msun,0.732,0.006,Rsun,2009A&A...505..205D
GJ 879               ,0.725,0.036,Msun,0.629,0.051,Rsun,2009A&A...505..205D
GJ 887               ,0.503,0.025,Msun,0.459,0.011,Rsun,2009A&A...505..205D
GJ 551               ,0.118,0.012,Msun,0.141,0.007,Rsun,2012ApJ...757..112B
SDSS0857+03 B        ,0.09,0.01,Msun,0.11,0.004,Rsun,2012MNRAS.419..304P
NN Ser B             ,0.111,0.004,Msun,0.149,0.002,Rsun,2010MNRAS.402.2591P
GK Vir B             ,0.116,0.003,Msun,0.155,0.003,Rsun,2012MNRAS.426.1950P
OGLE-TR-106 B        ,0.116,0.021,Msun,0.181,0.013,Rsun,2005A&A...438.1123P
HAT-TR-205-013 B     ,0.124,0.01,Msun,0.167,0.006,Rsun,2007ApJ...663..573B
SDSS 0138-00 B       ,0.132,0.003,Msun,0.165,0.001,Rsun,2012MNRAS.426.1950P
GJ 699               ,0.146,0.015,Msun,0.187,0.001,Rsun,2012ApJ...757..112B
SDSS 1210+33 B       ,0.158,0.006,Msun,0.2,0.004,Rsun,2012MNRAS.419..817P
SDSS 1548+40 B       ,0.173,0.027,Msun,0.181,0.015,Rsun,2009MNRAS.394..978P
RR Cae B             ,0.183,0.013,Msun,0.209,0.014,Rsun,2007MNRAS.376..919M
2MASS 0446+19 B      ,0.19,0.02,Msun,0.21,0.01,Rsun,2006AJ....131..555H
HATS551-019 B        ,0.17,0.01,Msun,0.18,0.01,Rsun,2014MNRAS.437.2831Z
