# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Tue Jan 31 08:42:23 2023,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,frac1,frac2
TRAPPIST-1 d,TRAPPIST-1,,,,,0.02228,0,0,0,0.784,0.023,-0.023,0,0.297,0.039,-0.035,0,0.029336735,0.029336735
TRAPPIST-1 h,TRAPPIST-1,18.772866,0.000214,-0.000214,0,0.06189,0.00053,-0.00053,0,0.755,0.014,-0.014,0,0.326,0.02,-0.02,0,0.018543046,0.018543046
TRAPPIST-1 h,TRAPPIST-1,,,,,0.061935,0.000001,-0.000001,0,0.773,0.026,-0.027,0,0.331,0.056,-0.049,0,0.033635188,0.034928849
TRAPPIST-1 d,TRAPPIST-1,4.049219,0.000026,-0.000026,0,0.02227,0.00019,-0.00019,0,0.788,0.011,-0.01,0,0.388,0.012,-0.012,0,0.013959391,0.012690355
GJ 367 b,GJ 367,0.321962,0.00001,-0.000012,0,0.0071,0.0002,-0.0002,0,0.718,0.054,-0.054,0,0.546,0.078,-0.078,0,0.075208914,0.075208914
TRAPPIST-1 e,TRAPPIST-1,6.101013,0.000035,-0.000035,0,0.02925,0.0025,-0.0025,0,0.92,0.013,-0.012,0,0.692,0.022,-0.022,0,0.014130435,0.013043478
TRAPPIST-1 e,TRAPPIST-1,,,,,0.029283,0,0,0,0.91,0.026,-0.027,0,0.772,0.079,-0.075,0,0.028571429,0.02967033
TRAPPIST-1 f,TRAPPIST-1,,,,,0.038534,0,0,0,1.046,0.029,-0.03,0,0.934,0.08,-0.078,0,0.027724665,0.028680688
TRAPPIST-1 b,TRAPPIST-1,,,,,0.011548,0,0,0,1.121,0.031,-0.032,0,1.017,0.154,-0.143,0,0.02765388,0.028545941
TRAPPIST-1 f,TRAPPIST-1,9.20754,0.000032,-0.000032,0,0.03849,0.00033,-0.00033,0,1.045,0.013,-0.012,0,1.039,0.031,-0.031,0,0.012440191,0.011483254
TRAPPIST-1 g,TRAPPIST-1,,,,,0.046877,0,0,0,1.148,0.032,-0.033,0,1.148,0.098,-0.095,0,0.027874564,0.028745645
TRAPPIST-1 c,TRAPPIST-1,,,,,0.015815,0,0,0,1.095,0.03,-0.031,0,1.156,0.142,-0.131,0,0.02739726,0.028310502
TRAPPIST-1 c,TRAPPIST-1,2.421937,0.000018,-0.000018,0,0.0158,0.00013,-0.00013,0,1.097,0.014,-0.012,0,1.308,0.056,-0.056,0,0.012762078,0.010938924
TRAPPIST-1 g,TRAPPIST-1,12.352446,0.000054,-0.000054,0,0.04683,0.0004,-0.0004,0,1.129,0.015,-0.013,0,1.321,0.038,-0.038,0,0.013286094,0.011514615
