#
# Solar evolution from Bahcall, Pinsonneault, & Basu 2001, ApJ, 555, 990
# Numbers from M. Pinsonneaults (private copy)
#
# extracted from m1000b.dat and converted into an ascii table with the
# subset of information on energy production.
#
# ageGyr = age in Gyr
# Lsun = luminosity in Lsun
# fraction of total energy generation from...
#   ppI = pp I cycle
#   ppII = pp II cycle
#   ppIII = pp III cycle
#   CNO = CNO cycle
#   3Alpha = triple-alpha process (3x 4He -> 12C)
#   HeC = 4He+12C -> 16O
#   KH = Kelvin-Helmholtz
#   ppTotal = total pp (I+II+III)
#   HHe = 
#
ageGyr         Lsun             ppI   ppII  ppIII  CNO  3Alpha HeC  KH  ppTotal  HHe
2.02700000E-06 18.7004785334265 1.02217723283563e-06 0 0 0 0 0 0.999998971500837 1.02217723283563e-06 1.02217723283563e-06
3.64860000E-06 18.1715410704519 1.37388078992351e-06 0 0 0 0 0 0.999998625848416 1.37388078992351e-06 1.37388078992351e-06
5.37717628E-06 17.6476767395021 1.85453641763179e-06 0 0 0 0 0 0.999998144826507 1.85453641763179e-06 1.85453641763179e-06
7.53789663E-06 17.0467805365119 2.64139640347676e-06 0 0 0 0 0 0.999997352197281 2.64139640347676e-06 2.64139640347676e-06
9.97519844E-06 16.4285627152543 3.84270581025217e-06 0 0 0 0 0 0.999996164286833 3.84270581025217e-06 3.84270581025217e-06
1.25598389E-05 15.8314972563676 5.58224049620163e-06 0 0 0 0 0 0.999994431583688 5.58224049620163e-06 5.58224049620163e-06
1.53009772E-05 15.2550343539615 8.09748114188427e-06 0 0 0 0 0 0.999991900774614 8.09748114188427e-06 8.09748114188427e-06
1.82083275E-05 14.6985566313924 1.17290739712358e-05 0 0 0 0 0 0.999988262018053 1.17290739712358e-05 1.17290739712358e-05
2.12921469E-05 14.1613279384743 1.69649541373365e-05 0 0 0 0 0 0.999983035596987 1.69649541373365e-05 1.69649541373365e-05
2.45634218E-05 13.6427370932148 2.45031400015953e-05 0 0 0 0 0 0.999975489286898 2.45031400015953e-05 2.45031400015953e-05
2.80337890E-05 13.1422994967095 3.53402432440599e-05 0 0 0 0 0 0.999964663968462 3.53402432440599e-05 3.53402432440599e-05
3.17155947E-05 12.6591681914633 5.08981380336269e-05 0 0 0 0 0 0.999949112654672 5.08981380336269e-05 5.08981380336269e-05
3.56220778E-05 12.1927239150231 7.32019212622603e-05 0 0 0 0 0 0.99992679937401 7.32019212622603e-05 7.32019212622603e-05
3.97673332E-05 11.7424524439816 0.000105131655920201 0 0 0 0 0 0.999894856377961 0.000105131655920201 0.000105131655920201
4.41663593E-05 11.3077437973536 0.000150778788461676 0 0 0 0 0 0.999849227451193 0.000150778788461676 0.000150778788461676
4.88351699E-05 10.8879600828674 0.000215946407968534 0 0 0 0 0 0.999784056623139 0.000215946407968534 0.000215946407968534
5.37909027E-05 10.4827430349173 0.000308847563964495 0 0 0 0 0 0.999691146209867 0.000308847563964495 0.000308847563964495
5.90518758E-05 10.0915068654072 0.000441102909542578 0 0 0 0 0 0.999558899828684 0.000441102909542578 0.000441102909542578
6.46376627E-05 9.71373116793724 0.000629122717557946 0 0 0 0 0 0.999370878416173 0.000629122717557946 0.000629122717557946
7.05693014E-05 9.34911551860694 0.000896033329925977 0 0 0 0 0 0.999103966723882 0.000896033329925977 0.000896033329925977
7.68692948E-05 8.99710251591314 0.00127438864675827 0 0 0 0 0 0.998725611285094 0.00127438864675827 0.00127438864675827
8.35621091E-05 8.65713332575731 0.00180994397456959 0 0 0 0 0 0.998190056088117 0.00180994397456959 0.00180994397456959
9.06744508E-05 8.32839487044839 0.00256696926989594 0 0 0 0 0 0.997433029919817 0.00256696926989594 0.00256696926989594
9.82358439E-05 8.01121890664226 0.00363521709235207 1.11565435224714e-30 0 0 0 0 0.996364783314295 0.00363521709235207 0.00363521709235207
1.06277570E-04 7.70538183929659 0.00513987942791106 2.64665601592843e-30 0 0 0 0 0.994860119832789 0.00513987942791106 0.00513987942791106
1.14834509E-04 7.41054546341627 0.00725508216168675 6.24540354397395e-30 0 0 0 0 0.992744918213958 0.00725508216168675 0.00725508216168675
1.23945991E-04 7.12639809073182 0.0102219965784313 1.46577513170154e-29 0 2.1702638560305e-30 0 0 0.989778004287109 0.0102219965784313 0.0102219965784313
1.33656955E-04 6.85258273942885 0.0143730050471757 3.42096581557714e-29 0 5.32487162687529e-30 0 0 0.985626995955534 0.0143730050471757 0.0143730050471757
1.44019986E-04 6.58890359120564 0.0201627744526902 7.93793179335771e-29 0 1.29791073152357e-29 0 0 0.979837226426722 0.0201627744526902 0.0201627744526902
1.55097681E-04 6.33508051686907 0.0282075117315661 1.83062716710846e-28 0 3.14118998914237e-29 0 0 0.971792488446952 0.0282075117315661 0.0282075117315661
1.66967345E-04 6.09097101729187 0.0393313357295393 4.19420078136547e-28 0 7.54336299902941e-29 0 0 0.960668665700139 0.0393313357295393 0.0393313357295393
1.79726392E-04 5.8564839039236 0.054615031176934 9.54135128119511e-28 0 1.79575787665943e-28 0 0 0.945384970031367 0.054615031176934 0.054615031176934
1.89933630E-04 5.68556164921135 0.0697471909490254 1.76700439109539e-27 0 3.43665384451689e-28 0 0 0.930252809893222 0.0697471909490254 0.0697471909490254
