ageGyr,Lsun,ppI,ppII,ppIII,CNO,3Alpha,HeC,KH,ppTotal,HHe
2.02700000E-06,18.70047853,1.02217723283563e-06,0,0,0,0,0,0.999998972,1.02217723283563e-06,1.02217723283563e-06
3.64860000E-06,18.17154107,1.37388078992351e-06,0,0,0,0,0,0.999998626,1.37388078992351e-06,1.37388078992351e-06
5.37717628E-06,17.64767674,1.85453641763179e-06,0,0,0,0,0,0.999998145,1.85453641763179e-06,1.85453641763179e-06
7.53789663E-06,17.04678054,2.64139640347676e-06,0,0,0,0,0,0.999997352,2.64139640347676e-06,2.64139640347676e-06
9.97519844E-06,16.42856272,3.84270581025217e-06,0,0,0,0,0,0.999996164,3.84270581025217e-06,3.84270581025217e-06
1.25598389E-05,15.83149726,5.58224049620163e-06,0,0,0,0,0,0.999994432,5.58224049620163e-06,5.58224049620163e-06
1.53009772E-05,15.25503435,8.09748114188427e-06,0,0,0,0,0,0.999991901,8.09748114188427e-06,8.09748114188427e-06
1.82083275E-05,14.69855663,1.17290739712358e-05,0,0,0,0,0,0.999988262,1.17290739712358e-05,1.17290739712358e-05
2.12921469E-05,14.16132794,1.69649541373365e-05,0,0,0,0,0,0.999983036,1.69649541373365e-05,1.69649541373365e-05
2.45634218E-05,13.64273709,2.45031400015953e-05,0,0,0,0,0,0.999975489,2.45031400015953e-05,2.45031400015953e-05
2.80337890E-05,13.1422995,3.53402432440599e-05,0,0,0,0,0,0.999964664,3.53402432440599e-05,3.53402432440599e-05
3.17155947E-05,12.65916819,5.08981380336269e-05,0,0,0,0,0,0.999949113,5.08981380336269e-05,5.08981380336269e-05
3.56220778E-05,12.19272392,7.32019212622603e-05,0,0,0,0,0,0.999926799,7.32019212622603e-05,7.32019212622603e-05
3.97673332E-05,11.74245244,0.000105132,0,0,0,0,0,0.999894856,0.000105132,0.000105132
4.41663593E-05,11.3077438,0.000150779,0,0,0,0,0,0.999849227,0.000150779,0.000150779
4.88351699E-05,10.88796008,0.000215946,0,0,0,0,0,0.999784057,0.000215946,0.000215946
5.37909027E-05,10.48274303,0.000308848,0,0,0,0,0,0.999691146,0.000308848,0.000308848
5.90518758E-05,10.09150687,0.000441103,0,0,0,0,0,0.9995589,0.000441103,0.000441103
6.46376627E-05,9.713731168,0.000629123,0,0,0,0,0,0.999370878,0.000629123,0.000629123
7.05693014E-05,9.349115519,0.000896033,0,0,0,0,0,0.999103967,0.000896033,0.000896033
7.68692948E-05,8.997102516,0.001274389,0,0,0,0,0,0.998725611,0.001274389,0.001274389
8.35621091E-05,8.657133326,0.001809944,0,0,0,0,0,0.998190056,0.001809944,0.001809944
9.06744508E-05,8.32839487,0.002566969,0,0,0,0,0,0.99743303,0.002566969,0.002566969
9.82358439E-05,8.011218907,0.003635217,1.11565435224714e-30,0,0,0,0,0.996364783,0.003635217,0.003635217
1.06277570E-04,7.705381839,0.005139879,2.64665601592843e-30,0,0,0,0,0.99486012,0.005139879,0.005139879
1.14834509E-04,7.410545463,0.007255082,6.24540354397395e-30,0,0,0,0,0.992744918,0.007255082,0.007255082
1.23945991E-04,7.126398091,0.010221997,1.46577513170154e-29,0,2.1702638560305e-30,0,0,0.989778004,0.010221997,0.010221997
1.33656955E-04,6.852582739,0.014373005,3.42096581557714e-29,0,5.32487162687529e-30,0,0,0.985626996,0.014373005,0.014373005
1.44019986E-04,6.588903591,0.020162774,7.93793179335771e-29,0,1.29791073152357e-29,0,0,0.979837226,0.020162774,0.020162774
1.55097681E-04,6.335080517,0.028207512,1.83062716710846e-28,0,3.14118998914237e-29,0,0,0.971792488,0.028207512,0.028207512
1.66967345E-04,6.090971017,0.039331336,4.19420078136547e-28,0,7.54336299902941e-29,0,0,0.960668666,0.039331336,0.039331336
1.79726392E-04,5.856483904,0.054615031,9.54135128119511e-28,0,1.79575787665943e-28,0,0,0.94538497,0.054615031,0.054615031
1.89933630E-04,5.685561649,0.069747191,1.76700439109539e-27,0,3.43665384451689e-28,0,0,0.93025281,0.069747191,0.069747191
1.98099419E-04,5.558590144,0.083872437,2.82161350179373e-27,0,5.62110400174274e-28,0,0,0.916127561,0.083872437,0.083872437
2.05048196E-04,5.457020635,0.09735257,4.13016981393323e-27,0,8.3841841110055e-28,0,0,0.90264743,0.09735257,0.09735257
2.11517233E-04,5.367673474,0.111100231,5.80443289817148e-27,0,1.19747267246311e-27,0,0,0.888899767,0.111100231,0.111100231
2.17709843E-04,5.286649098,0.125327767,7.93800721839443e-27,0,1.66109093443337e-27,0,0,0.874672235,0.125327767,0.125327767
2.23733548E-04,5.211836943,0.140136057,1.06388867114086e-26,0,2.25466309238706e-27,0,0,0.859863944,0.140136057,0.140136057
2.29664091E-04,5.141898245,0.155600925,1.40398893862717e-26,0,3.0094239640063e-27,0,0,0.844399075,0.155600925,0.155600925
2.35560437E-04,5.07579497,0.171787952,1.8305987132093e-26,0,3.96410444476468e-27,0,0,0.828212047,0.171787952,0.171787952
2.41474107E-04,5.012847918,0.188756266,2.36446048109548e-26,0,5.16725063744058e-27,0,0,0.811243733,0.188756266,0.188756266
2.47451371E-04,4.952439548,0.20656176,3.03175086849217e-26,0,6.67986314242464e-27,0,0,0.793438238,0.20656176,0.20656176
2.53538920E-04,4.894048197,0.225264821,3.86611533818588e-26,0,8.57989562225361e-27,0,0,0.774735178,0.225264821,0.225264821
2.59785793E-04,4.83731295,0.244914049,4.91102174793831e-26,0,1.09673995968861e-26,0,0,0.755085951,0.244914049,0.244914049
2.66245132E-04,4.781839829,0.265565936,6.22366973099461e-26,0,1.39729644016409e-26,0,0,0.734434062,0.265565936,0.265565936
2.72979407E-04,4.727228148,0.287277804,7.88074639730195e-26,0,1.77700633145489e-26,0,0,0.712722197,0.287277804,0.287277804
2.80065575E-04,4.673162005,0.310101021,9.98747489429749e-26,0,2.2594320053826e-26,0,0,0.689898982,0.310101021,0.310101021
2.87599413E-04,4.619202122,0.334089568,1.26918367626656e-25,0,2.8773355333598e-26,0,0,0.665910432,0.334089568,0.334089568
2.95709462E-04,4.564887479,0.359292435,1.62099742953097e-25,0,3.6779956299543e-26,0,0,0.640707565,0.359292435,0.359292435
3.04574090E-04,4.509634341,0.385747799,2.08712928101827e-25,0,4.73254742751131e-26,0,0,0.614252203,0.385747799,0.385747799
3.14456466E-04,4.452553003,0.413481472,2.72088116447549e-25,0,6.154586678887e-26,0,0,0.586518527,0.413481472,0.413481472
