ageGyr,logL/Lsun,logR/Rsun,L/Lsun,R/Rsun,logTeff,Teff,logTcore,logrho_core,logPcore,Xcore,Ycore,Zcore
2.02700000E-06,1.27185272E+00,8.98631519E-01,18.7004785334265,7.91829210880160,3.63027473E+00,4268.49453769207,6.00464089E+00,-1.71304320E+00,1.24181466E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
3.64860000E-06,1.25939176E+00,8.91252640E-01,18.1715410704519,7.78489286099529,3.63084893E+00,4274.14183612170,6.01171252E+00,-1.69181054E+00,1.24464587E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
5.37717628E-06,1.24668754E+00,8.83744714E-01,17.6476767395021,7.65146707887791,3.63142684E+00,4279.83316674002,6.01891216E+00,-1.67019155E+00,1.24752850E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
7.53789663E-06,1.23164237E+00,8.74861660E-01,17.0467805365119,7.49655376355554,3.63210707E+00,4286.54186825660,6.02743564E+00,-1.64459506E+00,1.25094138E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
9.97519844E-06,1.21559957E+00,8.65412404E-01,16.4285627152543,7.33520750383265,3.63282100E+00,4293.59424337298,6.03650909E+00,-1.61734454E+00,1.25457466E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
1.25598389E-05,1.19952199E+00,8.55963452E-01,15.8314972563676,7.17733887920584,3.63352608E+00,4300.57058391834,6.04558899E+00,-1.59007477E+00,1.25821067E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
1.53009772E-05,1.18341319E+00,8.46514741E-01,15.2550343539615,7.02287180648436,3.63422324E+00,4307.47970584064,6.05467531E+00,-1.56278503E+00,1.26184934E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
1.82083275E-05,1.16727469E+00,8.37066117E-01,14.6985566313924,6.8717304728882,3.63491292E+00,4314.32561995562,6.06376814E+00,-1.53547491E+00,1.26549067E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
2.12921469E-05,1.15110398E+00,8.27617820E-01,14.1613279384743,6.72384696001767,3.63559440E+00,4321.10082601061,6.07286726E+00,-1.50814518E+00,1.26913458E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
2.45634218E-05,1.13490151E+00,8.18169720E-01,13.6427370932148,6.57914896805752,3.63626783E+00,4327.80645169051,6.08197276E+00,-1.48079645E+00,1.27278105E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
2.80337890E-05,1.11867136E+00,8.08721813E-01,13.1422994967095,6.43756775506378,3.63693425E+00,4334.45251989038,6.09108454E+00,-1.45342945E+00,1.27643005E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
3.17155947E-05,1.10240517E+00,7.99274338E-01,12.6591681914633,6.29903959092483,3.63759144E+00,4341.01653423697,6.10020232E+00,-1.42604485E+00,1.28008139E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
3.56220778E-05,1.08610074E+00,7.89827356E-01,12.1927239150231,6.16349937104607,3.63823882E+00,4347.49228517598,6.10932599E+00,-1.39864291E+00,1.28373503E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
3.97673332E-05,1.06975881E+00,7.80380907E-01,11.7424524439816,6.03088305308725,3.63887656E+00,4353.8810525521,6.11845552E+00,-1.37122359E+00,1.28739092E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
4.41663593E-05,1.05337596E+00,7.70935076E-01,11.3077437973536,5.90112855815986,3.63950376E+00,4360.17338900072,6.12759070E+00,-1.34378907E+00,1.29104899E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
4.88351699E-05,1.03694652E+00,7.61490095E-01,10.8879600828674,5.7741770333742,3.64011889E+00,4366.3534670252,6.13673096E+00,-1.31634122E+00,1.29470905E+01,7.07847383E-01,2.73338597E-01,1.87845200E-02
5.37909027E-05,1.02047494E+00,7.52046051E-01,10.4827430349173,5.64996881841003,3.64072302E+00,4372.43155639182,6.14587600E+00,-1.28887843E+00,1.29837100E+01,7.07847383E-01,2.73338596E-01,1.87845200E-02
5.90518758E-05,1.00395602E+00,7.42603037E-01,10.0915068654072,5.52844555564424,3.64131480E+00,4378.39359680873,6.15502573E+00,-1.26140107E+00,1.30203477E+01,7.07847382E-01,2.73338596E-01,1.87845200E-02
6.46376627E-05,9.87386080E-01,7.33161362E-01,9.71373116793724,5.40955277401366,3.64189315E+00,4384.2281880498,6.16417998E+00,-1.23391045E+00,1.30570025E+01,7.07847382E-01,2.73338596E-01,1.87845200E-02
7.05693014E-05,9.70770526E-01,7.23721102E-01,9.34911551860694,5.29323410437567,3.64245939E+00,4389.94814203074,6.17333845E+00,-1.20640989E+00,1.30936732E+01,7.07847382E-01,2.73338595E-01,1.87845200E-02
7.68692948E-05,9.54102669E-01,7.14282902E-01,8.99710251591314,5.17944113951083,3.64301153E+00,4395.5328489786,6.18250022E+00,-1.17890174E+00,1.31303566E+01,7.07847381E-01,2.73338594E-01,1.87845200E-02
8.35621091E-05,9.37374106E-01,7.04847472E-01,8.65713332575731,5.06812679991984,3.64354710E+00,4400.95674397446,6.19166452E+00,-1.15138518E+00,1.31670501E+01,7.07847380E-01,2.73338593E-01,1.87845200E-02
9.06744508E-05,9.20561308E-01,6.95415961E-01,8.32839487044839,4.95924953185995,3.64405966E+00,4406.15387666188,6.20083051E+00,-1.12386212E+00,1.32037500E+01,7.07847379E-01,2.73338591E-01,1.87845200E-02
9.82358439E-05,9.03698599E-01,6.85987763E-01,8.01121890664226,4.85274826509884,3.64455808E+00,4411.21352162563,6.20999836E+00,-1.09633331E+00,1.32404568E+01,7.07847377E-01,2.73338589E-01,1.87845200E-02
1.06277570E-04,8.86794165E-01,6.76564285E-01,7.70538183929659,4.74858575105012,3.64504371E+00,4416.14891886635,6.21916647E+00,-1.06880495E+00,1.32771641E+01,7.07847374E-01,2.73338585E-01,1.87845200E-02
1.14834509E-04,8.69850176E-01,6.67147241E-01,7.41054546341627,4.64672788827146,3.64551624E+00,4420.95648283218,6.22833295E+00,-1.04128272E+00,1.33138644E+01,7.07847370E-01,2.73338580E-01,1.87845200E-02
1.23945991E-04,8.52870079E-01,6.57738857E-01,7.12639809073182,4.54714556256841,3.64597540E+00,4425.63303276877,6.23749551E+00,-1.01377361E+00,1.33505483E+01,7.07847365E-01,2.73338572E-01,1.87845200E-02
1.33656955E-04,8.35854288E-01,6.48342341E-01,6.85258273942885,4.44981894815886,3.64641971E+00,4430.16304474908,6.24665096E+00,-9.86287262E-01,1.33872033E+01,7.07847357E-01,2.73338560E-01,1.87845200E-02
